iter	RMSE
0	17.91693654
1	17.79882181
2	17.69724757
3	17.59838923
4	17.50997889
5	17.42605858
6	17.34453759
7	17.27233179
8	17.20773332
9	17.14700449
10	17.08782949
11	17.03376922
12	16.98648408
13	16.94168579
14	16.89708046
15	16.85837034
16	16.81870078
17	16.76605994
18	16.72524262
19	16.69625964
20	16.65181825
21	16.62201002
22	16.59164584
23	16.56445885
24	16.53937743
25	16.51607846
26	16.49496192
27	16.46768466
28	16.45037802
29	16.42616658
30	16.39885161
31	16.38282018
32	16.3668256
33	16.33982756
34	16.32221583
35	16.30873763
36	16.29590175
37	16.28092461
38	16.26842961
39	16.25267348
40	16.23530068
41	16.22421987
42	16.21052248
43	16.19771635
44	16.18844337
45	16.17354092
46	16.16317422
47	16.15173581
48	16.13899384
49	16.13019487
50	16.12268515
51	16.11393749
52	16.10634013
53	16.09843034
54	16.08829041
55	16.0810093
56	16.07344265
57	16.06083023
58	16.05130466
59	16.04427436
60	16.03615598
61	16.03042533
62	16.0221969
63	16.01617294
64	16.00970318
65	16.00027053
66	15.99430305
67	15.98729289
68	15.97538384
69	15.96777521
70	15.96304741
71	15.95774653
72	15.95128238
73	15.946208
74	15.94074157
75	15.92864209
76	15.91917494
77	15.91132187
78	15.90239321
79	15.89339077
80	15.88841897
81	15.88215212
82	15.87619562
83	15.87324704
84	15.86849499
85	15.86380811
86	15.861146
87	15.85532939
88	15.85141344
89	15.8472541
90	15.8408997
91	15.83733902
92	15.83404007
93	15.83011022
94	15.82410996
95	15.8215706
96	15.81885783
97	15.8122837
98	15.80862845
99	15.80527268
100	15.80215819
101	15.79632303
102	15.79087359
103	15.78668285
104	15.78310059
105	15.77711765
106	15.77356496
107	15.77115282
108	15.76533117
109	15.76339329
110	15.76119134
111	15.75860981
112	15.7555614
113	15.75325355
114	15.74912131
115	15.74377612
116	15.73468563
117	15.73219529
118	15.73010383
119	15.72579955
120	15.72302097
121	15.72035813
122	15.71758034
123	15.71243266
124	15.70965301
125	15.70170646
126	15.69997123
127	15.6966593
128	15.6946343
129	15.69171306
130	15.68926265
131	15.68492009
132	15.68296749
133	15.68052906
134	15.67840644
135	15.67546261
136	15.67159517
137	15.66483267
138	15.65835815
139	15.65641153
140	15.65287487
141	15.6517649
142	15.64956368
143	15.64737904
144	15.64575521
145	15.64245261
146	15.64028247
147	15.63609589
148	15.63432922
149	15.63193783
150	15.63017084
151	15.62847612
152	15.62682192
153	15.62486661
154	15.62372656
155	15.62161546
156	15.61804517
157	15.61592478
158	15.61353855
159	15.60985389
160	15.60795934
161	15.60689113
162	15.60527486
163	15.60296563
164	15.59930042
165	15.59823405
166	15.5954761
167	15.59271303
168	15.5906067
169	15.58842993
170	15.58647777
171	15.58487494
172	15.58153024
173	15.58003041
174	15.57921172
175	15.57724708
176	15.57367412
177	15.57236956
178	15.57013542
179	15.56753296
180	15.56682884
181	15.56545175
182	15.5633856
183	15.5626207
184	15.56007361
185	15.5584408
186	15.5566066
187	15.5553184
188	15.55366974
189	15.55249085
190	15.55167079
191	15.55057596
192	15.54878357
193	15.54660456
194	15.54593311
195	15.54408883
196	15.54117948
197	15.53723516
198	15.53617314
199	15.53450178
