iter	Passed	Remaining
0	6	1382
1	12	1226
2	17	1160
3	23	1167
4	29	1140
5	33	1093
6	39	1090
7	44	1056
8	48	1034
9	54	1031
10	60	1040
11	66	1037
12	72	1039
13	77	1032
14	83	1025
15	88	1021
16	93	1009
17	98	995
18	103	990
19	108	976
20	112	962
21	117	953
22	123	947
23	127	937
24	133	933
25	138	923
26	142	911
27	146	900
28	151	892
29	155	882
30	160	874
31	164	865
32	169	860
33	174	851
34	178	842
35	183	835
36	187	827
37	192	819
38	196	809
39	201	805
40	205	798
41	210	791
42	215	785
43	219	777
44	223	768
45	227	761
46	232	757
47	238	754
48	243	749
49	248	744
50	252	737
51	256	730
52	261	724
53	266	719
54	270	713
55	275	709
56	280	704
57	285	700
58	290	694
59	294	688
60	300	684
61	305	680
62	310	675
63	317	673
64	322	668
65	326	663
66	332	660
67	338	656
68	342	650
69	348	646
70	352	641
71	357	634
72	362	629
73	368	627
74	373	622
75	378	617
76	382	611
77	388	607
78	393	602
79	397	596
80	402	590
81	406	584
82	410	579
83	414	573
84	419	567
85	424	562
86	429	557
87	433	551
88	437	546
89	442	540
90	447	535
91	451	529
92	455	523
93	460	519
94	465	514
95	469	508
96	473	502
97	477	497
98	482	492
99	486	486
100	492	482
101	497	477
102	501	472
103	505	467
104	510	461
105	514	456
106	519	451
107	523	445
108	528	440
109	532	435
110	537	430
111	542	426
112	546	420
113	550	415
114	554	410
115	559	405
116	564	400
117	568	395
118	572	389
119	576	384
120	581	379
121	586	374
122	592	370
123	597	366
124	603	362
125	609	358
126	614	353
127	620	348
128	626	344
129	631	340
130	636	335
131	641	330
132	647	326
133	653	321
134	658	317
135	665	313
136	683	314
137	708	318
138	718	315
139	725	310
140	730	305
141	734	300
142	739	294
143	744	289
144	749	284
145	754	278
146	758	273
147	763	268
148	767	262
149	772	257
150	776	251
151	781	246
152	785	241
153	790	235
154	794	230
155	799	225
156	803	219
157	807	214
158	811	209
159	815	203
160	820	198
161	824	193
162	828	188
163	833	182
164	838	177
165	842	172
166	847	167
167	852	162
168	856	157
169	860	151
170	865	146
171	869	141
172	873	136
173	879	131
174	883	126
175	888	121
176	893	116
177	899	111
178	903	106
179	908	100
180	913	95
181	918	90
182	922	85
183	927	80
184	933	75
185	937	70
186	942	65
187	948	60
188	952	55
189	956	50
190	961	45
191	966	40
192	970	35
193	975	30
194	980	25
195	984	20
196	989	15
197	994	10
198	999	5
199	1003	0
